Ref,Component,Value,Package,LCSC Part,Qty,PCBA,Notes
J1,Pi Zero 2W pads,Castellated 2x20,2.54mm pitch,-,1,N/A,Custom footprint — match Pi Zero 2W mechanical drawing exactly
J2_A,TMC2209 Socket A,Pin Header 1x8,2.54mm,C2337,2,Yes,Two 1x8 sockets for TMC2209 module (one each side); verify module pinout
J2_B,TMC2209 Socket B,Pin Header 1x8,2.54mm,C2337,-,-,See J2_A note
J3,Battery JST,JST PH 2.0 2P,JST PH 2.0,C152168,1,Yes,BAT+ and BAT- from battery pack
J4,USB-C JST,JST PH 2.0 2P,JST PH 2.0,C152168,1,Yes,VBUS + GND from panel-mount USB-C port
J5,Power Button JST,JST PH 2.0 2P,JST PH 2.0,C152168,1,Yes,Momentary switch to gate circuit
J6,WS2812B JST,JST PH 2.0 3P,JST PH 2.0,C9752,1,Yes,5V / Data (GPIO18) / GND to LED
J7,Motor JST,JST PH 2.0 4P,JST PH 2.0,C9757,1,Yes,A1 A2 B1 B2 motor phases to NEMA17
J8,UWB1 JST,JST PH 2.0 6P,JST PH 2.0,C9754,1,Yes,VCC/GND/MOSI/MISO/SCK/CS to DWM3000 #1
J9,UWB2 JST,JST PH 2.0 6P,JST PH 2.0,C9754,1,Yes,VCC/GND/MOSI/MISO/SCK/CS to DWM3000 #2
J10,Arducam CSI FPC,FPC 15P 1.0mm Bottom,FPC 15P 1.0mm,C77004,1,Yes,Standard Pi CSI-2 pinout; use adapter cable to Pi Zero mini-CSI
LED1,WS2812B,WS2812B 5050,5050,C52917433,1,NO - HAND SOLDER,Exclude from JLCPCB PCBA; solder manually after board assembly

NOTES:
- JLCPCB PCBA: All SMD components EXCEPT LED1 (WS2812B) can be PCBA assembled
- WS2812B (LED1) must be excluded from PCBA order and hand-soldered separately
- J1 Pi pads are custom — no LCSC part; create footprint from Pi Zero 2W mechanical drawing
- J2 headers: verify TMC2209 module pinout before finalizing footprint (Stepstick / BTT modules differ)
- R2 (22.6k): closest standard E96 value; verify against MP2307 datasheet for exact Vout tuning
- R4 (27.4k): E96 series value; results in Vout ~3.22V (acceptable for 3.3V rail)
- All electrolytic caps: ensure SMD footprint fits within routing constraints
- JST PH 2.0 connectors: use right-angle (horizontal) variant for edge-oriented cable routing
